category,word,description,id
basic,검소,사치스럽거나 화려하지 않고 평범함.,basic90
basic,하류,"강이나 내의 아래쪽 부분. 지위, 계급, 수준 등이 낮은 부류.",basic91
basic,하교,수업을 마쳐 학교에서 집으로 돌아옴.,basic92
basic,피로,몸이나 정신이 지쳐서 힘듦. 또는 그런 상태.,basic93
basic,프로젝트,연구나 사업. 또는 그 계획.,basic94
basic,품행,품성과 행실.,basic95
basic,품위,사람이 갖추어야 할 위엄이나 기품. 사물이 지닌 고상하고 격이 높은 느낌.,basic96
basic,포용,남을 넓은 마음으로 감싸 주거나 받아들임.,basic97
basic,포부,마음속에 가지고 있는 미래에 대한 계획이나 희망.,basic98
basic,학교,"일정한 목적, 교과 과정, 제도 등에 의하여 교사가 학생을 가르치는 기관.",basic99
basic,평화,걱정이나 탈이 없이 조용하고 화목함. 전쟁이나 다툼 등의 갈등이 없이 조용하고 화목함.,basic100
basic,평등,"권리, 의무, 자격 등이 차별 없이 고르고 똑같음.",basic101
basic,평가,"사물의 값이나 가치, 수준 등을 헤아려 정함. 또는 그 값이나 가치, 수준.",basic102
basic,편리,이용하기 쉽고 편함.,basic103
basic,편견,공평하고 올바르지 못하고 한쪽으로 치우친 생각.,basic104
basic,패기,어떤 힘겨운 일이라도 해내려는 굳센 정신.,basic105
basic,팀워크,팀을 이루는 사람들 사이의 협동.,basic106
basic,통합,여러 개의 기구나 조직 등을 하나로 합침.,basic107
basic,통일,나누어지거나 갈라진 것들을 합쳐서 하나가 되게 함. 서로 다른 것들을 같게 함. 여러 가지 생각을 버리고 정신이나 마음을 집중함.,basic108
basic,평등권,차별 없이 평등한 권리와 의무를 가질 권리.,basic109
basic,학습,배워서 익힘.,basic110
basic,학용품,필기도구나 공책 등과 같이 공부할 때 필요한 물품.,basic111
basic,행동거지,몸을 움직여서 하는 모든 행동.,basic112
basic,희생,"어떤 사람이나 목적을 위해 자신의 목숨, 재산, 명예, 이익 등을 바치거나 버림. 또는 그것을 빼앗김. 사고나 자연 재해 등으로 슬프고 안타깝게 목숨을 잃음.",basic113
basic,희망,앞일에 대하여 기대를 가지고 바람. 앞으로 잘될 수 있는 가능성.,basic114
basic,희구,바라고 구함.,basic115
basic,휴식,하던 일을 멈추고 잠시 쉼.,basic116
basic,회원,어떤 모임을 이루는 사람.,basic117
basic,회사,사업을 통해 이익을 얻기 위해 여러 사람이 모여 만든 법인 단체.,basic118
basic,환경,생물이 살아가는 데 영향을 주는 자연 상태나 조건. 인간에게 영향을 주는 주위의 조건이나 상황. 인간이 생활하는 주위의 상태.,basic119
basic,화해,싸움을 멈추고 서로 가지고 있던 안 좋은 감정을 풀어 없앰.,basic120
basic,화장실,대변과 소변을 몸 밖으로 내보낼 수 있게 시설을 만들어 놓은 곳.,basic121
basic,호칭,이름을 지어 부름. 또는 그 이름.,basic122
basic,형평성,어느 한쪽으로 기울거나 치우치지 않고 균형을 이루는 성질.,basic123
basic,형제,형과 남동생. 같은 부모에게서 태어났거나 길러진 자녀들. 기독교 신자들끼리 서로를 이르는 말.,basic124
basic,형,남자가 형제나 친척 형제들 중에서 자기보다 나이가 많은 남자를 이르거나 부르는 말. 남자가 자기보다 나이 많은 남자를 다정하게 이르거나 부르는 말. 다른 것들과 차이가 나는 특징을 가지는 형태나 유형. 남자들 사이에서 나이가 비슷하거나 아래인 사람의 성 뒤에 붙여 상대방을 조금 높여 말하거나 부르는 말.,basic125
basic,협조,힘을 합쳐 서로 조화를 이룸. 힘을 보태어 도움.,basic126
basic,협력,힘을 합해 서로 도움.,basic127
basic,현관,건물의 출입문이 있는 문간.,basic128
basic,혁신,"오래된 풍속, 관습, 조직, 방법 등을 완전히 바꾸어서 새롭게 함.",basic129
basic,허물,잘못 저지른 실수. 남에게 비웃음을 살 만한 말이나 행동. 살갗에서 저절로 일어나는 얇은 껍질. 파충류나 곤충류 등이 자라면서 벗는 껍질.,basic130
basic,행사,목적이나 계획을 가지고 절차에 따라서 어떤 일을 시행함. 또는 그 일. 부려서 씀. 권리의 내용을 실제로 이룸.,basic131
basic,태도,몸을 움직이거나 어떤 일을 대하는 마음이 드러난 자세. 어떤 일에 대한 입장이나 생각.,basic132
basic,탈퇴,소속해 있던 조직이나 단체에서 관계를 끊고 나옴.,basic133
basic,타협,어떤 일을 서로 양보하여 의논함.,basic134
basic,콤플렉스,무의식 속에 자리 잡고 사라지지 않는 생각이나 스스로 남보다 못하다고 여기는 생각.,basic135
basic,-국,‘나라’의 뜻을 더하는 접미사. ‘업무 부서’의 뜻을 더하는 접미사.,basic136
basic,-법,‘방법’ 또는 ‘규칙’의 뜻을 더하는 접미사.,basic137
basic,-집,‘모아 엮은 책’의 뜻을 더하는 접미사. ‘크기’ 또는 ‘부피’의 뜻을 더하는 접미사. ‘그것이 생긴 자리’ 또는 ‘그것의 흔적’의 뜻을 더하는 접미사. ‘자기 집안에서 출가한 손아래 여자가 시집 사람임’의 뜻을 더하는 접미사. ‘남의 첩이나 기생’의 뜻을 더하는 접미사.,basic138
basic,-형,'그런 모양'의 뜻을 더하는 접미사. '그러한 유형' 또는 '그러한 형식'의 뜻을 더하는 접미사.,basic139
basic,가방,물건을 넣어 손에 들거나 어깨에 멜 수 있게 만든 것.,basic140
basic,가입,단체에 들어가거나 상품 및 서비스를 받기 위해 계약을 함.,basic141
basic,가족,"주로 한 집에 모여 살고 결혼이나 부모, 자식, 형제 등의 관계로 이루어진 사람들의 집단. 또는 그 구성원.",basic142
basic,가치,값이나 귀중한 정도. 의미나 중요성.,basic143
basic,가치관,사람이 어떤 것의 가치에 대해 가지는 태도나 판단의 기준.,basic144
basic,각오,앞으로 겪을 힘든 일에 대한 마음의 준비.,basic145
basic,갈등,서로 생각이 달라 부딪치는 것. 마음속에서 어떻게 할지 결정을 못 한 채 괴로워하는 것.,basic146
basic,값어치,"어떤 것이 지니는, 인정할 만한 가치.",basic147
basic,개발,토지나 천연자원 등을 이용하기 쉽거나 쓸모 있게 만듦. 능력이나 지식 등을 더 나아지게 함. 한 나라의 경제나 특정 분야의 산업을 더 나아지게 하거나 커지게 함. 새로운 물건을 만들거나 새로운 생각을 내놓음.,basic148
basic,개성,다른 것과 구별되는 고유의 특성.,basic149
basic,거만,잘난 체하며 자기보다 남을 낮추어 봄.,basic150
basic,거실,"서양식 집에서, 가족이 모여서 생활하거나 손님을 맞는 중심 공간.",basic151
basic,거짓말,사실이 아닌 것을 사실인 것처럼 꾸며서 하는 말.,basic152
basic,건강,몸이나 정신이 이상이 없이 튼튼한 상태.,basic153
basic,건방,자신의 주제를 모르고 지나치게 잘난 척하는 태도.,basic154
basic,창의성,지금까지 없던 새로운 것을 생각해 내는 특성.,basic155
basic,미래,"앞으로 올 때. 문법에서, 말하는 순간이나 어떤 기준이 되는 때보다 나중에 일어난 사건이나 행동, 상태를 나타내는 것.",basic156
basic,책가방,"주로 학생들이 책이나 공책, 필통 등을 넣어서 들거나 메고 다니는 가방.",basic157
basic,천민,신분제 사회에서 신분이 낮고 천한 사람.,basic158
basic,캠핑,산이나 들 또는 바닷가 등에서 텐트를 치고 생활함. 또는 그런 생활.,basic159
basic,캠페인,"주로 사회적, 정치적 목적을 위하여 대중을 상대로 조직적으로 펼치는 운동.",basic160
basic,친구,사이가 가까워 서로 친하게 지내는 사람. (낮추거나 친근하게 이르는 말로) 나이가 비슷하거나 아래인 사람.,basic161
basic,치욕,욕되고 창피스러움.,basic162
basic,치사,죽음에 이름. 또는 죽게 함. 다른 사람을 칭찬함. 또는 그런 말.,basic163
basic,치마,여자가 입는 아래 겉옷으로 다리가 들어가도록 된 부분이 없는 옷.,basic164
basic,취미,좋아하여 재미로 즐겨서 하는 일. 음악이나 미술과 같이 아름다운 것을 감상하고 이해하는 능력. 흥미를 느끼어 마음이 끌리는 상태.,basic165
basic,축제,어떤 것을 기념하거나 축하하기 위하여 벌이는 큰 규모의 행사.,basic166
basic,추진력,물체를 앞으로 밀어 내보내는 힘. 목적을 위하여 일을 계속 이루어 나아가는 힘.,basic167
basic,추구,목적을 이루기 위해 계속 따르며 구함.,basic168
basic,체육관,실내에서 운동을 할 수 있게 만든 건물.,basic169
basic,체모,남을 대하기에 떳떳한 입장이나 얼굴. 옷을 입은 모양이나 태도. 갖추어진 모양. 몸에 난 털.,basic170
basic,체면,남을 대하기에 떳떳한 입장이나 얼굴.,basic171
basic,체력,몸의 힘이나 기운.,basic172
basic,체득,직접 체험하여 알게 됨.,basic173
basic,청소,더럽고 지저분한 것을 깨끗하게 치움.,basic174
basic,청렴,마음이 깨끗하고 욕심이 없음.,basic175
basic,청결,맑고 깨끗함.,basic176
basic,철학,세계와 인간에 대한 근본 원리를 탐구하는 학문. 경험이나 학습을 통해서 얻어진 세계나 인생의 근본 원리에 대한 의견이나 생각.,basic177
basic,책임,맡은 일이나 의무. 어떤 일의 결과에 대해서 가지는 의무나 부담. 또는 그 결과에 따른 불이익. 법을 어긴 사람에게 법적 불이익을 주거나 제한을 두는 일.,basic178
basic,희생정신,"어떤 사람이나 목적을 위해 자신의 목숨, 재산, 명예, 이익 등을 바치거나 버리는 정신.",basic179
basic,민주주의,주권이 국민에게 있고 국민을 위한 정치를 지향하는 사상.,basic180
basic,바람,"기압의 변화 또는 사람이나 기계에 의해 일어나는 공기의 움직임. 공이나 튜브 등과 같이 속이 빈 곳에 채우는 공기. 몰래 다른 이성과 애정을 나눔. 사회적으로 잠시 일어나는 유행이나 분위기 또는 사상적인 경향. (속된 말로) 현기증, 졸도, 경련 등이 나타난 이후 몸에 마비가 오는 병. 작은 일을 불려서 크게 말하는 일. 남의 비난의 목표가 되거나 어떤 힘의 영향을 잘 받아 불안정한 자리. 남에게 마음에 없던 일을 하도록 부추기는 일. (비유적으로) 들뜬 마음이나 일어난 생각. 매우 빠름. 어떤 일이 생각한 대로 이루어지기를 원하는 마음. 뒷말의 이유나 원인을 나타내는 말. 그 옷차림을 나타내는 말.",basic181
basic,인내,괴로움이나 어려움을 참고 견딤.,basic182
basic,인내심,괴로움이나 어려움을 참고 견디는 마음.,basic183
basic,인도주의,"인종, 민족, 국가, 종교 등의 차이를 뛰어넘어 인간의 존엄성을 최고의 가치로 여기는 사상이나 태도.",basic184
basic,인생관,"인생의 목적, 의미, 가치 등에 대한 의견이나 태도.",basic185
basic,입학,학생이 되어 공부하기 위해 학교에 들어감.,basic186
basic,자격,일정한 신분이나 지위. 일정한 신분이나 지위를 얻기 위해 필요한 조건이나 능력.,basic187
basic,자격지심,자신에 대해 스스로 만족하지 못하고 부끄럽게 생각하는 마음.,basic188
basic,자긍심,스스로를 떳떳하고 자랑스럽게 여기는 마음.,basic189
basic,인권,인간으로서 당연히 가지는 기본적인 권리.,basic190
basic,자랑,자기 또는 자기와 관계있는 사람이나 물건이 남에게 칭찬을 받을 만한 것임을 드러내어 말하거나 뽐냄.,basic191
basic,자만,자기에 관한 것을 스스로 자랑하며 잘난 체함.,basic192
basic,자부심,스스로 자신의 가치나 능력을 믿고 떳떳이 여기는 마음.,basic193
basic,자비,"자기한테 필요한 돈을 자기가 내는 것. 또는 그 돈. 남을 깊이 사랑하고 불쌍하게 여김. 또는 그렇게 여겨서 베푸는 혜택. 불교에서, 생명 있는 모든 존재에게 즐거움을 주고 괴로움을 없게 함.",basic194
basic,자선,형편이 어려운 사람을 불쌍히 여겨 도와줌.,basic195
basic,자세,몸을 움직이거나 가누는 태도. 어떤 일을 대하는 마음가짐이나 정신적인 태도.,basic196
basic,자애,아랫사람에게 베푸는 따뜻하고 깊은 사랑.,basic197
basic,자연,"사람의 힘에 의한 것이 아닌, 세상에 원래부터 있거나 저절로 이루어지는 모든 현상이나 존재. 사람의 손길이 미치지 않고 저절로 생겨난 산, 강, 바다 등의 지리적 환경. 사람의 힘에 의하지 않고도 저절로 이루어지는 것. 사람의 손길이나 외부의 작용이 미치지 않고 저절로.",basic198
basic,자원봉사,자기 스스로 하고자 하여 대가 없이 어떤 일이나 사람을 도움. 또는 그런 활동.,basic199
basic,자립심,남에게 매이거나 의지하지 않고 자기 힘으로 해내려는 마음가짐.,basic200
basic,이타심,자기의 이익보다는 다른 사람의 이익을 더 중요하게 생각하는 마음.,basic201
basic,이웃,어떤 지역이나 나라에 나란히 또는 가까이 있음. 자신이 살고 있는 집과 가까이 있는 집. 또는 거기 사는 사람.,basic202
basic,이상,수량이나 정도가 일정한 기준을 포함하여 그보다 많거나 나은 것. 순서나 위치가 일정한 기준보다 앞이거나 위인 것. 이미 그렇게 된 바에는. 서류나 강연 등에 마지막에 써서 ‘끝’의 뜻을 나타내는 말. 어떤 것에 대하여 생각할 수 있는 것 중에서 가장 나은 상태나 모습. 정상적인 것과 다름. 원래 알고 있던 것과 달리 별나거나 색다름. 보통과 달라 의심스러움. 보통이나 평소와는 다른 상태.,basic203
basic,옷,사람의 몸을 가리고 더위나 추위 등으로부터 보호하며 멋을 내기 위하여 입는 것. 음식의 겉에 묻히거나 붙이는 것.,basic204
basic,욕실,목욕을 할 수 있도록 시설을 갖춘 방.,basic205
basic,용기,겁이 없고 씩씩한 기운. 물건을 담는 그릇.,basic206
basic,용서,잘못이나 죄에 대하여 꾸중을 하거나 벌을 주지 않고 너그럽게 덮어 줌.,basic207
basic,용인,너그러운 마음으로 받아들여 인정함.,basic208
basic,우월감,다른 사람보다 뛰어나다고 여기는 생각이나 느낌.,basic209
basic,우유,"암소의 젖으로, 아이스크림, 버터, 치즈 등을 만드는 데 사용하는 흰 액체.",basic210
basic,운동장,"운동 경기, 놀이 등을 할 수 있도록 여러 가지 기구나 시설을 갖춘 넓은 마당.",basic211
basic,위생,건강에 이롭거나 도움이 되도록 조건을 갖추거나 대책을 세우는 일.,basic212
basic,위신,남의 존경과 믿음을 받을 만한 지위나 태도.,basic213
basic,위엄,존경할 만한 지위와 권세가 있어 엄숙한 태도나 분위기.,basic214
basic,위용,매우 위엄이 있는 모양이나 모습.,basic215
basic,윤리,사람으로서 마땅히 지켜야 할 바람직한 행동 기준.,basic216
basic,의무,"마땅히 해야 할 일. 법으로 정해져 강제성이 있는, 반드시 해야 하는 일.",basic217
basic,의사소통,생각이나 말 등이 서로 통함.,basic218
basic,의의,말이나 글의 속에 담긴 깊은 뜻. 어떤 사실이나 행위 등이 갖는 중요성이나 가치. 하나의 말이 가리키는 것.,basic219
basic,의지,어떤 일을 이루고자 하는 마음. 다른 것에 몸을 기댐. 또는 그렇게 하는 대상. 다른 것에 마음을 기대어 도움을 받음. 또는 그렇게 하는 대상.,basic220
basic,이념,"한 국가나 사회, 개인이 가지고 있는 생각의 근본이 되는, 이상적으로 여겨지는 사상.",basic221
basic,이모,어머니의 언니나 여동생을 이르거나 부르는 말.,basic222
basic,자유,무엇에 얽매이거나 구속되지 않고 자기의 생각과 의지대로 할 수 있는 상태.,basic223
basic,오빠,여자가 형제나 친척 형제들 중에서 자기보다 나이가 많은 남자를 이르거나 부르는 말. 여자가 자기보다 나이 많은 남자를 다정하게 이르거나 부르는 말.,basic224
basic,자율성,남의 지배나 구속을 받지 않고 스스로의 원칙에 따라 자신의 행동을 통제하는 성질.,basic225
basic,잘못,바르지 않게 또는 틀리게. 적당하지 않게. 깊이 생각하지 아니하고 함부로. 재수 없게. 잘하지 못하거나 옳지 못하게 한 일.,basic226
basic,주체성,어떤 일을 하는 데 스스로의 의지에 따라 처리하는 성질.,basic227
basic,준법,법률이나 규칙을 지킴.,basic228
basic,준비,미리 마련하여 갖춤.,basic229
basic,준수,"명령이나 규칙, 법률 등을 지킴.",basic230
basic,중시,매우 크고 중요하게 여김.,basic231
basic,중요성,귀중하고 꼭 필요한 요소나 성질.,basic232
basic,중요시,중요하게 여김.,basic233
basic,지우개,"연필로 쓴 것을 지우는, 고무로 만든 물건. 칠판이나 화이트보드에 쓴 것을 지우는 물건.",basic234
basic,주의,마음에 새겨 두고 조심함. 어떤 상태나 일에 관심을 집중함. 경고나 충고의 뜻으로 알림. 굳게 지키는 주장이나 신념. 체계화된 이론이나 학설.,basic235
basic,지향,어떤 목적이나 목표에 뜻을 둠. 또는 그렇게 하려는 의지. 결정한 방향으로 나아감. 또는 그 방향.,basic236
basic,진로,앞으로 나아갈 길. 장래의 삶의 방향.,basic237
basic,진보,정도나 수준이 나아지거나 높아짐. 사회의 변화나 발전을 추구함.,basic238
basic,진실,거짓이 아닌 사실. 순수하고 거짓이 없는 마음.,basic239
basic,진취성,목적하는 방향을 따라 적극적으로 나아가 일을 이루는 성질.,basic240
basic,질서,많은 사람들이 모인 곳에서 혼란스럽지 않도록 지키는 순서나 차례. 사람들이나 물건들이 혼란스럽지 않게 정돈되어 있는 모습. 또는 그러기 위하여 지켜야 하는 규칙.,basic241
basic,질투,부부나 애인 사이에서 상대방이 다른 사람을 좋아할 경우에 지나치게 미워하고 싫어함. 다른 사람이 잘되거나 좋은 처지에 있는 것을 괜히 미워하고 싫어함.,basic242
basic,집,"사람이나 동물이 추위나 더위 등을 막고 그 속에 들어 살기 위해 지은 건물. 사람이나 동물이 살기 위해 지은 건물을 세는 단위. 가정을 이루고 생활하는 집안. 칼이나 총, 안경 등을 끼거나 담아서 보관할 수 있게 만든 것. 바둑에서, 자기 돌로 에워싸 상대편 돌이 들어올 수 없게 한, 바둑판의 빈 자리. 바둑에서, 자기 돌로 에워싸 상대편 돌이 들어올 수 없게 한 빈 자리를 세는 단위. ‘물건을 파는 가게’ 또는 ‘영업을 하는 가게’의 뜻을 나타내는 말. 잡지나 음악 앨범 등을 낼 때 그 발행 차례를 나타내는 단위.",basic243
basic,차별,둘 이상을 차등을 두어 구별함.,basic244
basic,직업,보수를 받으면서 일정하게 하는 일.,basic245
basic,주스,과일이나 채소에서 짜낸 즙. 또는 그것으로 만든 음료.,basic246
basic,죄,"양심이나 종교적 가르침, 법에 벗어나는 잘못된 행동이나 생각.",basic247
basic,좌절,마음이나 기운이 꺾임. 어떠한 계획이나 일 등이 도중에 실패로 돌아감.,basic248
basic,저녁,해가 지기 시작할 때부터 밤이 될 때까지의 동안. 저녁에 먹는 밥.,basic249
basic,저속,고상하지 못하고 천함. 느린 속도.,basic250
basic,저질,낮고 좋지 못한 품질.,basic251
basic,적극성,어떤 일에 대한 태도에 있어 자발적이고 긍정적인 성질.,basic252
basic,전략,"전쟁에서 이기기 위한 방법과 계획. 정치, 경제 등의 사회적 활동을 하는 데 필요한 방법과 계획.",basic253
basic,전문가,"어떤 한 분야에 많은 지식과 경험, 기술을 가지고 있는 사람.",basic254
basic,전문성,"어떤 분야에 대한 많은 지식, 경험, 기술 등을 가지고 있는 특성.",basic255
basic,전학,다니던 학교에서 다른 학교로 옮겨 감.,basic256
basic,절제,정도에 넘지 않도록 알맞게 조절하여 제한함. 잘라 냄.,basic257
basic,점심,"아침과 저녁 식사 중간에, 낮에 하는 식사. 하루 중에 해가 가장 높이 떠 있는, 아침과 저녁의 중간이 되는 시간.",basic258
